course_id,course_name,category,base_price_inr
1,AI/ML Fundamentals,Coding & Tech,24999
2,B.Tech CSE Support,Higher Education,9999
3,BBA Business Basics,Higher Education,7499
4,Business English,Language Learning,6999
5,CAT Prep Masterclass,Competitive Exams,14999
6,Class 11-12 PCB,K-12 Academics,8499
7,Class 11-12 PCM,K-12 Academics,8999
8,Class 8-10 Science Pack,K-12 Academics,4999
9,Data Analytics Bootcamp,Professional Upskilling,19999
10,Data Science Masters,Coding & Tech,34999
11,Digital Marketing Pro,Professional Upskilling,12999
12,English Communication,Language Learning,4999
13,Financial Modelling,Professional Upskilling,15999
14,Foundation Course,K-12 Academics,6999
15,Full Stack Development,Coding & Tech,29999
16,GATE CS Complete,Competitive Exams,12999
17,GMAT Focus Edition,Test Preparation,16999
18,GRE Verbal+Quant,Test Preparation,11999
19,Graphic Design Pro,Creative Arts,9999
20,HR Management,Professional Upskilling,8999
21,IELTS Preparation,Language Learning,8999
22,IIT-JEE Advanced Prep,Competitive Exams,24999
23,MBA Finance Prep,Higher Education,11999
24,NEET Complete Course,Competitive Exams,22999
25,Python for Beginners,Coding & Tech,7999
26,SAT Complete Prep,Test Preparation,12999
27,UI/UX Design,Creative Arts,14999
28,UPSC GS Foundation,Competitive Exams,18999
29,Video Editing Basics,Creative Arts,6999
