enrollment_id,enrollment_date,company_id,course_id,city,state,city_tier,gender,age_group,referral_source,payment_mode,device_type,original_price_inr,discount_pct,discount_amount_inr,final_price_inr,gst_amount_inr,net_revenue_inr,platform_cost_inr,gross_profit_inr,gross_margin_pct,course_completed,student_rating,refund_issued,support_tickets_raised
EDU00524,2023-11-08,3,25,Jodhpur,Rajasthan,Tier 3,Male,25-34,Google Ads,Debit Card,Desktop,7999,40,3199.6,4799.4,863.89,3935.51,2203.97,1731.54,44,Yes,4.6,No,1
EDU00061,2023-12-05,7,18,Mangaluru,Karnataka,Tier 3,Male,25-34,Instagram,Wallet,Tablet,11999,10,1199.9,10799.1,1943.84,8855.26,3836.62,5018.64,56.67,Yes,4,No,0
EDU00457,2024-12-15,3,23,Ghaziabad,Delhi NCR,Tier 2,Other,18-24,Word of Mouth,Credit Card,Mobile,11999,25,2999.75,8999.25,1619.87,7379.38,3191.83,4187.55,56.75,Yes,3.6,No,0
EDU01052,2024-08-29,11,26,Ahmedabad,Gujarat,Tier 1,Male,13-17,YouTube,Credit Card,Mobile,12999,0,0,12999,2339.82,10659.18,3738.71,6920.47,64.92,Yes,3.7,No,1
EDU00891,2023-02-09,13,26,Kolkata,West Bengal,Tier 1,Other,35-44,Google Ads,Debit Card,Desktop,12999,40,5199.6,7799.4,1403.89,6395.51,3376.69,3018.82,47.2,Yes,3.6,No,0
EDU01966,2023-01-12,11,11,Gurugram,Delhi NCR,Tier 1,Female,25-34,WhatsApp,EMI,Mobile,12999,0,0,12999,2339.82,10659.18,3264.37,7394.81,69.38,Yes,4.5,No,1
EDU00027,2023-11-03,1,23,Vadodara,Gujarat,Tier 3,Male,25-34,School/College Partnership,EMI,Mobile,11999,0,0,11999,2159.82,9839.18,4348.29,5490.89,55.81,No,,No,1
EDU00427,2024-01-18,15,29,Pune,Maharashtra,Tier 1,Female,35-44,Word of Mouth,Debit Card,Mobile,6999,5,349.95,6649.05,1196.83,5452.22,2206.78,3245.44,59.53,Yes,2.9,No,2
EDU01634,2023-01-16,8,27,Warangal,Telangana,Tier 3,Male,35-44,Direct/Organic,EMI,Mobile,14999,25,3749.75,11249.25,2024.87,9224.38,4357.82,4866.56,52.76,No,,No,1
EDU00833,2024-11-03,13,23,Madurai,Tamil Nadu,Tier 3,Other,18-24,Instagram,Credit Card,Desktop,11999,50,5999.5,5999.5,1079.91,4919.59,2534.61,2384.98,48.48,No,,No,0
EDU02161,2023-11-15,11,26,NOIDA,Delhi NCR,Tier 1,Male,18-24,Email Campaign,UPI,Mobile,12999,40,5199.6,7799.4,1403.89,6395.51,2933.31,3462.2,54.13,No,,Yes,1
EDU01493,2024-02-19,3,2,Warangal,Telangana,Tier 3,Male,13-17,YouTube,Credit Card,Mobile,9999,10,999.9,8999.1,1619.84,7379.26,3528.47,3850.79,52.18,No,,No,1
EDU02280,2023-10-14,10,11,Mysuru,Karnataka,Tier 2,Female,25-34,WhatsApp,EMI,Desktop,12999,20,2599.8,10399.2,1871.86,8527.34,3512.35,5014.99,58.81,No,,No,1
EDU00700,2023-11-02,1,12,Chennai,Tamil Nadu,Tier 1,Male,13-17,Word of Mouth,Credit Card,Tablet,4999,15,749.85,4249.15,764.85,3484.3,1347.82,2136.48,61.32,No,,No,3
EDU02121,2024-12-21,5,15,Bengaluru,Karnataka,Tier 1,Female,45+,Direct/Organic,UPI,Tablet,29999,40,11999.6,17999.4,3239.89,14759.51,6414.9,8344.61,56.54,Yes,4.2,No,0
EDU00341,2024-11-10,2,19,Vadodara,Gujarat,Tier 3,Male,18-24,Direct/Organic,Net Banking,Mobile,9999,25,2499.75,7499.25,1349.87,6149.38,2274.96,3874.42,63.01,No,,No,3
EDU02148,2023-11-20,4,26,Nashik,Maharashtra,Tier 2,Female,35-44,Email Campaign,Wallet,Desktop,12999,40,5199.6,7799.4,1403.89,6395.51,3570.77,2824.74,44.17,No,,No,0
EDU00152,2023-11-24,10,16,Vadodara,Gujarat,Tier 3,Male,18-24,Email Campaign,EMI,Mobile,12999,25,3249.75,9749.25,1754.87,7994.38,3501.87,4492.51,56.2,Yes,,No,0
EDU01163,2024-06-15,1,4,Nashik,Maharashtra,Tier 2,Male,18-24,Direct/Organic,UPI,Mobile,6999,40,2799.6,4199.4,755.89,3443.51,1857.34,1586.17,46.06,Yes,4,No,0
EDU02226,2023-05-19,1,25,Jaipur,Rajasthan,Tier 2,Male,18-24,Instagram,Debit Card,Mobile,7999,0,0,7999,1439.82,6559.18,2831.55,3727.63,56.83,Yes,4.3,No,0
EDU02334,2024-07-25,1,15,Howrah,West Bengal,Tier 3,Female,25-34,Google Ads,Wallet,Mobile,29999,40,11999.6,17999.4,3239.89,14759.51,7295.56,7463.95,50.57,Yes,,No,0
EDU00808,2023-10-09,2,18,Surat,Gujarat,Tier 2,Female,45+,Word of Mouth,UPI,Tablet,11999,0,0,11999,2159.82,9839.18,4634.06,5205.12,52.9,Yes,3.1,No,2
EDU01261,2024-01-14,5,22,Howrah,West Bengal,Tier 3,Female,18-24,Email Campaign,Wallet,Desktop,24999,20,4999.8,19999.2,3599.86,16399.34,6763.99,9635.35,58.75,Yes,3.7,No,0
EDU01083,2023-06-17,2,5,Chennai,Tamil Nadu,Tier 1,Other,35-44,Google Ads,Credit Card,Desktop,14999,0,0,14999,2699.82,12299.18,4245.97,8053.21,65.48,Yes,3.4,No,0
EDU00326,2023-01-05,7,11,Surat,Gujarat,Tier 2,Male,35-44,School/College Partnership,Credit Card,Mobile,12999,50,6499.5,6499.5,1169.91,5329.59,2783.75,2545.84,47.77,No,,No,1
EDU00465,2024-05-27,9,8,Madurai,Tamil Nadu,Tier 3,Female,35-44,YouTube,UPI,Desktop,4999,5,249.95,4749.05,854.83,3894.22,2019.87,1874.35,48.13,No,,No,1
EDU00745,2023-05-12,7,14,Bengaluru,Karnataka,Tier 1,Female,35-44,WhatsApp,Wallet,Tablet,6999,40,2799.6,4199.4,755.89,3443.51,1688.9,1754.61,50.95,No,,No,1
EDU02388,2023-06-27,3,9,Gurugram,Delhi NCR,Tier 1,Other,35-44,Word of Mouth,Net Banking,Mobile,19999,40,7999.6,11999.4,2159.89,9839.51,4786.15,5053.36,51.36,Yes,3.4,No,0
EDU01927,2024-07-17,6,8,Howrah,West Bengal,Tier 3,Male,18-24,School/College Partnership,Net Banking,Mobile,4999,0,0,4999,899.82,4099.18,2251.19,1847.99,45.08,No,,Yes,2
EDU00661,2024-04-10,5,10,Vadodara,Gujarat,Tier 3,Other,25-34,Instagram,Net Banking,Tablet,34999,0,0,34999,6299.82,28699.18,15004.71,13694.47,47.72,Yes,4.2,No,0
EDU01751,2023-06-27,4,26,Faridabad,Delhi NCR,Tier 2,Other,25-34,Word of Mouth,Debit Card,Tablet,12999,20,2599.8,10399.2,1871.86,8527.34,4283.93,4243.41,49.76,Yes,3.5,No,1
EDU00116,2024-03-16,13,27,Mumbai,Maharashtra,Tier 1,Other,25-34,Instagram,Net Banking,Tablet,14999,50,7499.5,7499.5,1349.91,6149.59,3376.6,2772.99,45.09,Yes,3.7,No,0
EDU01438,2023-06-02,9,13,Nashik,Maharashtra,Tier 2,Male,45+,WhatsApp,Wallet,Mobile,15999,10,1599.9,14399.1,2591.84,11807.26,5560.38,6246.88,52.91,Yes,2.7,No,1
EDU02469,2023-10-12,2,20,Hyderabad,Telangana,Tier 1,Male,25-34,Instagram,Credit Card,Mobile,8999,0,0,8999,1619.82,7379.18,2355.9,5023.28,68.07,No,,Yes,0
EDU01030,2024-03-11,11,6,Chennai,Tamil Nadu,Tier 1,Male,25-34,Direct/Organic,Net Banking,Mobile,8499,20,1699.8,6799.2,1223.86,5575.34,2362.25,3213.09,57.63,No,,No,1
EDU00451,2024-07-20,9,2,Warangal,Telangana,Tier 3,Female,25-34,Word of Mouth,Credit Card,Desktop,9999,0,0,9999,1799.82,8199.18,3293.48,4905.7,59.83,Yes,2.8,No,1
EDU01690,2024-08-21,6,11,Faridabad,Delhi NCR,Tier 2,Other,13-17,WhatsApp,Wallet,Tablet,12999,0,0,12999,2339.82,10659.18,5160.76,5498.42,51.58,No,,No,0
EDU00493,2023-11-28,1,4,New Delhi,Delhi NCR,Tier 1,Male,18-24,Word of Mouth,Debit Card,Desktop,6999,15,1049.85,5949.15,1070.85,4878.3,2141.47,2736.83,56.1,No,,No,0
EDU01138,2023-12-08,2,10,Pune,Maharashtra,Tier 1,Male,35-44,WhatsApp,Net Banking,Desktop,34999,30,10499.7,24499.3,4409.87,20089.43,5458.37,14631.06,72.83,No,,Yes,0
EDU01309,2024-03-08,1,28,Noida,Delhi NCR,Tier 1,Male,18-24,Instagram,UPI,Mobile,18999,40,7599.6,11399.4,2051.89,9347.51,4563.59,4783.92,51.18,Yes,4.4,No,0
EDU02068,2024-01-01,5,11,Noida,Delhi NCR,Tier 1,Female,35-44,Word of Mouth,Debit Card,Mobile,12999,25,3249.75,9749.25,1754.87,7994.38,3183.21,4811.17,60.18,Yes,3.8,No,1
EDU02259,2023-08-16,10,3,Noida,Delhi NCR,Tier 1,Male,45+,WhatsApp,Net Banking,Mobile,7499,15,1124.85,6374.15,1147.35,5226.8,1637.16,3589.64,68.68,Yes,,No,0
EDU01792,2023-05-13,11,2,Pune,Maharashtra,Tier 1,Male,18-24,Instagram,Credit Card,Mobile,9999,30,2999.7,6999.3,1259.87,5739.43,2404.81,3334.62,58.1,Yes,4.2,No,0
